gen,yon,gercek_log2FC
GEN1611,yukari,1.334
GEN0787,yukari,1.843
GEN1757,yukari,1.537
GEN1487,yukari,1.844
GEN1759,yukari,2.236
GEN0348,yukari,1.536
GEN0559,yukari,2.915
GEN0306,yukari,2.084
GEN1312,yukari,2.937
GEN1818,yukari,1.949
GEN0932,yukari,2.16
GEN0444,yukari,2.971
GEN0634,yukari,1.744
GEN1642,yukari,2.423
GEN0268,yukari,2.554
GEN0746,yukari,1.468
GEN1408,yukari,1.746
GEN1325,yukari,1.733
GEN0143,yukari,1.25
GEN0920,yukari,1.596
GEN0080,yukari,1.578
GEN0989,yukari,2.592
GEN0275,yukari,2.945
GEN0463,yukari,1.014
GEN0481,yukari,2.284
GEN1446,yukari,2.314
GEN0421,yukari,1.553
GEN1263,yukari,2.637
GEN0301,yukari,1.798
GEN1700,yukari,1.153
GEN0068,yukari,1.107
GEN0311,yukari,2.362
GEN1500,yukari,2.938
GEN1420,yukari,2.116
GEN0256,yukari,2.922
GEN1262,yukari,1.435
GEN0957,yukari,1.42
GEN1078,yukari,2.71
GEN1978,yukari,1.67
GEN0837,yukari,2.359
GEN1367,yukari,2.181
GEN1962,yukari,1.816
GEN1041,yukari,2.424
GEN0390,yukari,2.351
GEN0130,yukari,2.969
GEN1572,yukari,2.778
GEN0886,yukari,2.419
GEN1031,yukari,1.691
GEN1140,yukari,2.243
GEN0408,yukari,1.517
GEN0138,yukari,2.873
GEN1210,yukari,2.315
GEN0129,yukari,1.347
GEN0699,yukari,2.616
GEN0825,yukari,2.529
GEN1143,yukari,2.923
GEN1010,yukari,2.98
GEN0560,yukari,1.986
GEN1739,yukari,1.284
GEN1349,yukari,1.281
GEN1394,yukari,1.042
GEN1861,yukari,1.309
GEN0182,yukari,2.486
GEN0567,yukari,1.0
GEN0672,yukari,1.906
GEN0528,yukari,2.337
GEN1452,yukari,1.38
GEN0255,yukari,2.242
GEN0873,yukari,2.32
GEN0622,yukari,2.096
GEN1164,yukari,1.044
GEN0312,yukari,2.229
GEN0997,yukari,1.204
GEN0487,yukari,1.078
GEN0482,yukari,2.729
GEN1380,asagi,-2.691
GEN1528,asagi,-2.839
GEN0184,asagi,-1.202
GEN1702,asagi,-1.621
GEN1789,asagi,-1.384
GEN0093,asagi,-1.659
GEN1881,asagi,-1.265
GEN0015,asagi,-2.079
GEN1418,asagi,-2.615
GEN0051,asagi,-2.92
GEN1377,asagi,-2.608
GEN0103,asagi,-1.958
GEN1270,asagi,-1.723
GEN1200,asagi,-1.661
GEN1886,asagi,-2.243
GEN1733,asagi,-2.351
GEN0203,asagi,-1.715
GEN0652,asagi,-2.233
GEN1686,asagi,-1.288
GEN1392,asagi,-1.113
GEN1130,asagi,-2.592
GEN0086,asagi,-1.378
GEN1995,asagi,-2.733
GEN0716,asagi,-2.886
GEN0586,asagi,-1.405
GEN0392,asagi,-1.553
GEN1037,asagi,-2.14
GEN0619,asagi,-1.588
GEN1827,asagi,-1.118
GEN1594,asagi,-2.074
GEN0499,asagi,-1.269
GEN0099,asagi,-2.108
GEN0897,asagi,-1.373
GEN1153,asagi,-2.286
GEN0778,asagi,-2.62
GEN0694,asagi,-1.265
GEN0708,asagi,-2.863
GEN1753,asagi,-2.386
GEN1883,asagi,-2.318
GEN0623,asagi,-2.306
GEN0011,asagi,-1.547
GEN1043,asagi,-1.135
GEN0018,asagi,-2.355
GEN0612,asagi,-1.76
GEN0565,asagi,-2.762
GEN1580,asagi,-1.453
GEN1046,asagi,-2.482
GEN0700,asagi,-2.462
GEN1717,asagi,-2.447
GEN1183,asagi,-2.23
GEN1832,asagi,-1.546
GEN0973,asagi,-2.908
GEN0262,asagi,-1.593
GEN1239,asagi,-1.58
GEN1885,asagi,-2.714
GEN1304,asagi,-2.851
GEN0371,asagi,-1.887
GEN1563,asagi,-1.05
GEN0664,asagi,-2.132
GEN0101,asagi,-2.751
GEN0979,asagi,-2.892
GEN0783,asagi,-1.531
GEN0504,asagi,-2.635
GEN0109,asagi,-2.522
GEN0810,asagi,-2.727
GEN0732,asagi,-2.662
GEN1621,asagi,-2.313
GEN0695,asagi,-1.914
GEN0304,asagi,-1.817
GEN1751,asagi,-2.36
GEN0534,asagi,-1.496
GEN0505,asagi,-2.154
GEN1086,asagi,-1.179
GEN0338,asagi,-1.582
GEN0085,asagi,-1.048
