gen,K1,K2,K3,K4,K5,K6,T1,T2,T3,T4,T5,T6
GEN0001,1534,1206,2545,2168,2182,3341,1861,2269,2058,2311,3040,1938
GEN0002,1,1,1,1,0,4,1,2,1,3,2,1
GEN0003,50,81,81,68,277,272,260,102,137,261,233,143
GEN0004,19,17,45,27,33,67,50,35,38,67,55,35
GEN0005,49,24,55,34,53,41,29,21,37,45,64,34
GEN0006,23,45,23,58,41,84,98,45,53,52,81,75
GEN0007,0,3,0,2,0,3,6,2,2,4,8,2
GEN0008,47,60,39,40,39,53,113,31,38,70,64,32
GEN0009,9,8,9,25,23,38,44,8,26,26,24,19
GEN0010,13999,8549,12474,14504,17537,26325,17504,14157,19794,20950,13480,13891
GEN0011,79,77,70,66,71,132,20,28,47,89,71,25
GEN0012,36,42,38,39,25,65,56,38,44,77,49,49
GEN0013,35,51,46,26,61,94,37,23,59,138,40,45
GEN0014,19,15,17,17,31,36,26,29,20,47,32,5
GEN0015,20,12,10,6,9,21,8,2,2,7,4,4
GEN0016,15,37,30,43,57,23,47,31,41,44,53,37
GEN0017,51,136,126,126,111,190,213,93,134,149,155,214
GEN0018,52,43,41,57,70,87,3,10,19,14,8,8
GEN0019,231,204,176,272,322,418,901,405,495,796,325,276
GEN0020,45,27,24,33,53,58,55,31,59,95,106,83
GEN0021,64,51,76,86,83,75,108,54,61,78,129,62
GEN0022,754,670,733,1237,1006,2266,804,838,832,1279,1800,878
GEN0023,223,138,150,204,105,146,265,150,122,490,408,118
GEN0024,28,25,27,26,10,57,36,14,26,69,64,37
GEN0025,49,51,40,24,56,88,51,21,68,76,84,51
GEN0026,96,212,138,120,199,214,376,168,97,330,274,181
GEN0027,811,1218,1394,2035,1827,1915,2774,1638,1773,1708,2333,2168
GEN0028,59,58,15,51,36,45,41,21,54,77,62,47
GEN0029,29,26,45,61,29,90,51,32,48,83,46,67
GEN0030,271,431,369,187,203,615,826,196,235,633,618,435
GEN0031,14,13,14,11,12,40,32,16,15,33,26,16
GEN0032,47,43,36,47,29,65,48,27,33,57,60,28
GEN0033,201,164,257,261,170,377,354,208,341,331,313,305
GEN0034,130,275,145,180,148,184,199,150,154,434,292,143
GEN0035,54,72,81,116,109,160,164,71,56,117,109,114
GEN0036,121,168,77,224,219,188,288,91,135,307,326,192
GEN0037,0,1,0,1,0,4,1,1,1,1,1,0
GEN0038,341,300,222,331,297,366,588,267,243,484,656,484
GEN0039,18,14,10,12,9,41,30,12,9,25,18,10
GEN0040,2,7,14,4,5,10,6,6,7,11,5,6
GEN0041,44,94,88,113,68,179,130,77,105,229,181,108
GEN0042,208,148,170,226,116,382,395,182,179,221,325,179
GEN0043,19,51,14,29,34,74,75,26,32,84,43,28
GEN0044,6,10,18,15,18,20,14,15,16,20,21,16
GEN0045,56,38,54,78,72,96,75,30,93,151,57,36
GEN0046,62,38,78,83,45,199,88,63,74,94,98,83
GEN0047,819,362,417,364,345,1463,1187,354,651,1164,1200,581
GEN0048,111,201,221,204,256,280,355,155,181,345,397,278
GEN0049,87,86,115,62,163,230,113,53,36,226,133,112
GEN0050,481,318,352,451,467,943,674,310,230,1386,531,305
GEN0051,61,27,47,34,43,120,15,4,8,13,15,11
GEN0052,12,9,8,16,9,22,21,6,14,33,14,19
GEN0053,144,142,154,149,176,344,257,208,177,148,228,63
GEN0054,83,136,156,211,261,371,281,207,144,195,258,129
GEN0055,37,36,63,30,34,60,69,55,64,73,110,35
GEN0056,14,23,17,27,24,47,37,18,22,39,20,20
GEN0057,91,60,136,94,122,219,154,90,123,125,122,109
GEN0058,0,2,2,0,3,5,2,0,3,3,2,2
GEN0059,69,219,209,209,230,616,286,169,234,440,284,225
GEN0060,141,201,146,162,124,261,139,132,197,343,292,166
GEN0061,1,3,9,8,5,14,5,2,1,11,7,2
GEN0062,55,40,62,51,45,164,94,49,77,181,131,47
GEN0063,11,14,15,14,4,43,30,6,13,36,22,12
GEN0064,199,236,331,214,233,236,257,91,332,268,290,338
GEN0065,2,2,2,2,9,3,1,4,8,3,3,1
GEN0066,9,10,12,20,8,27,29,15,11,29,24,24
