gen,alt_tip,yon
g0518,A,yukari
g0263,A,yukari
g0627,A,yukari
g0481,A,yukari
g0568,A,yukari
g0617,A,yukari
g0129,A,yukari
g0799,A,yukari
g0161,A,yukari
g0106,A,yukari
g0776,A,yukari
g0452,A,yukari
g0674,A,yukari
g0097,A,yukari
g0775,A,yukari
g0746,A,yukari
g0716,A,yukari
g0908,A,yukari
g0869,A,yukari
g0707,A,yukari
g0499,A,asagi
g0193,A,asagi
g0115,A,asagi
g0173,A,asagi
g0529,A,asagi
g0995,A,asagi
g0154,A,asagi
g0521,A,asagi
g0345,A,asagi
g0965,A,asagi
g0697,B,yukari
g0160,B,yukari
g0132,B,yukari
g0077,B,yukari
g0765,B,yukari
g0100,B,yukari
g0126,B,yukari
g0612,B,yukari
g0829,B,yukari
g0451,B,yukari
g0392,B,yukari
g0089,B,yukari
g0283,B,yukari
g0733,B,yukari
g0139,B,yukari
g0632,B,yukari
g0846,B,yukari
g0365,B,yukari
g0344,B,yukari
g0905,B,yukari
g0429,B,asagi
g0084,B,asagi
g0434,B,asagi
g0487,B,asagi
g0535,B,asagi
g0298,B,asagi
g0198,B,asagi
g0826,B,asagi
g0667,B,asagi
g0196,B,asagi
g0433,C,yukari
g0158,C,yukari
g0863,C,yukari
g0606,C,yukari
g0320,C,yukari
g0325,C,yukari
g0715,C,yukari
g0945,C,yukari
g0426,C,yukari
g0638,C,yukari
g0894,C,yukari
g0355,C,yukari
g0478,C,yukari
g0422,C,yukari
g0226,C,yukari
g0015,C,yukari
g0424,C,yukari
g0060,C,yukari
g0459,C,yukari
g0630,C,yukari
g0731,C,asagi
g0664,C,asagi
g0790,C,asagi
g0442,C,asagi
g0107,C,asagi
g0420,C,asagi
g0294,C,asagi
g0832,C,asagi
g0474,C,asagi
g0370,C,asagi
g0141,D,yukari
g0769,D,yukari
g0784,D,yukari
g0875,D,yukari
g0768,D,yukari
g0510,D,yukari
g0450,D,yukari
g0065,D,yukari
g0058,D,yukari
g0949,D,yukari
g0724,D,yukari
g0666,D,yukari
g0548,D,yukari
g0025,D,yukari
g0610,D,yukari
g0327,D,yukari
g0098,D,yukari
g0248,D,yukari
g0185,D,yukari
g0902,D,yukari
g0148,D,asagi
g0626,D,asagi
g0687,D,asagi
g0052,D,asagi
g0881,D,asagi
g0096,D,asagi
g0170,D,asagi
g0273,D,asagi
g0593,D,asagi
g0110,D,asagi
g0465,C+D,yukari
g0797,C+D,yukari
g0771,C+D,yukari
g0794,C+D,yukari
g0476,C+D,yukari
g0777,C+D,yukari
g0045,C+D,yukari
g0439,C+D,yukari
g0822,C+D,yukari
g0331,C+D,yukari
g0233,C+D,yukari
g0485,C+D,yukari
g0514,C+D,yukari
g0699,C+D,yukari
g0360,C+D,yukari
g0268,C+D,yukari
g0623,C+D,yukari
g0488,C+D,yukari
g0188,C+D,yukari
g0501,C+D,yukari
